"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4"
-0,04;5,02;0,58;40,736;-0,07;6,02;0,62;39,794;0,13;7,02;0,67;44,523;-0,42;8,02;0,71;39,636
0,01;5,02;0,58;40,911;-0,11;6,02;0,62;40,003;0,12;7,02;0,67;44,698;-0,47;8,02;0,71;39,933
0,04;5,02;0,58;41,085;-0,11;6,02;0,62;40,195;0,18;7,02;0,67;44,890;-0,27;8,02;0,71;40,212
0,08;5,02;0,58;41,242;-0,09;6,02;0,62;40,369;0,27;7,02;0,67;45,082;-0,26;8,02;0,71;40,474
0,07;5,02;0,58;41,399;-0,12;6,02;0,62;40,527;0,32;7,02;0,67;45,291;-0,34;8,02;0,71;40,753
0,07;5,02;0,58;41,504;-0,10;6,02;0,62;40,684;0,21;7,02;0,67;45,571;-0,32;8,02;0,71;41,050
0,00;5,02;0,58;41,626;-0,12;6,02;0,62;40,858;0,24;7,02;0,66;45,850;-0,30;8,02;0,71;41,329
0,01;5,02;0,58;41,748;-0,18;6,02;0,62;41,015;0,35;7,02;0,67;46,146;-0,48;8,02;0,71;41,574
0,04;5,02;0,58;41,870;-0,16;6,02;0,62;41,190;0,31;7,02;0,67;46,461;-0,49;8,02;0,71;41,801
-0,05;5,02;0,58;42,028;-0,12;6,02;0,62;41,364;0,33;7,02;0,67;46,792;-0,49;8,02;0,71;42,045
0,03;5,02;0,58;42,167;-0,09;6,02;0,62;41,556;0,33;7,02;0,67;47,089;-0,41;8,02;0,71;42,289
0,09;5,02;0,58;42,324;-0,07;6,02;0,62;41,748;0,32;7,02;0,67;47,403;-0,43;8,02;0,71;42,499
-0,01;5,02;0,58;42,499;-0,11;6,02;0,62;41,975;0,30;7,02;0,67;47,682;-0,42;8,02;0,71;42,691
-0,06;5,02;0,58;42,656;-0,12;6,02;0,62;42,202;0,34;7,02;0,67;47,997;-0,45;8,02;0,71;42,848
-0,12;5,02;0,58;42,761;-0,15;6,02;0,62;42,429;0,26;7,02;0,67;48,311;-0,42;8,02;0,71;42,970
0,08;5,02;0,58;42,883;-0,16;6,02;0,62;42,673;0,30;7,02;0,67;48,677;-0,38;8,02;0,71;43,127
0,03;5,02;0,58;43,005;-0,07;6,02;0,62;42,883;0,30;7,02;0,67;49,009;-0,39;8,02;0,71;43,302
-0,08;5,02;0,58;43,092;-0,08;6,02;0,62;43,092;0,35;7,02;0,67;49,288;-0,43;8,02;0,71;43,529
-0,07;5,02;0,58;43,197;-0,08;6,02;0,62;43,302;0,28;7,02;0,66;49,602;-0,33;8,02;0,71;43,808
-0,02;5,02;0,58;43,302;-0,08;6,02;0,62;43,459;0,24;7,02;0,67;49,916;-0,44;8,02;0,71;44,122
-0,03;5,02;0,58;43,424;-0,14;6,02;0,62;43,616;0,27;7,02;0,67;50,283;-0,34;8,02;0,71;44,401
0,04;5,02;0,58;43,616;-0,07;6,02;0,62;43,755;0,26;7,02;0,67;50,667;-0,30;8,02;0,71;44,646
0,02;5,02;0,58;43,843;-0,10;6,02;0,62;43,930;0,21;7,02;0,66;51,033;-0,34;8,02;0,71;44,907
0,02;5,02;0,58;44,052;-0,64;6,02;0,62;44,139;0,30;7,02;0,67;51,348;-0,35;8,02;0,71;45,221
-0,02;5,02;0,58;44,244;-0,59;6,02;0,62;44,384;0,32;7,02;0,66;51,644;-0,43;8,02;0,71;45,553
0,03;5,02;0,58;44,401;-0,52;6,02;0,62;44,628;0,26;7,02;0,67;51,924;-0,35;8,02;0,71;45,885
0,01;5,02;0,58;44,541;-0,58;6,02;0,62;44,872;0,23;7,02;0,66;52,220;-0,31;8,02;0,71;46,181
0,08;5,02;0,58;44,663;-0,56;6,02;0,62;45,134;0,21;7,02;0,67;52,482;-0,32;8,02;0,71;46,426
0,07;5,02;0,58;44,768;-0,69;6,02;0,62;45,379;0,14;7,02;0,66;52,779;-0,44;8,02;0,71;46,670
0,06;5,02;0,58;44,820;-0,65;6,02;0,62;45,658;0,15;7,02;0,66;53,180;-0,37;8,02;0,71;46,897
0,14;5,02;0,58;44,855;-0,59;6,02;0,62;45,920;0,19;7,02;0,66;53,564;-0,36;8,02;0,71;47,089
0,23;5,02;0,58;44,890;-0,63;6,02;0,62;46,199;0,30;7,02;0,66;53,948;-0,36;8,02;0,71;47,298
0,17;5,02;0,58;44,977;-0,60;6,02;0,62;46,408;0,26;7,02;0,67;54,315;-0,40;8,02;0,71;47,508
0,16;5,02;0,58;45,082;-0,59;6,02;0,62;46,565;0,33;7,02;0,67;54,611;-0,30;8,02;0,71;47,700
0,15;5,02;0,58;45,204;-0,62;6,02;0,62;46,740;0,29;7,02;0,67;54,856;-0,28;8,02;0,71;47,892
0,13;5,02;0,58;45,326;-0,59;6,02;0,62;46,932;0,33;7,02;0,67;55,065;-0,40;8,02;0,71;48,101
0,02;5,02;0,58;45,448;-0,57;6,02;0,62;47,141;0,21;7,02;0,66;55,275;-0,26;8,02;0,71;48,328
0,12;5,02;0,58;45,571;-0,58;6,02;0,62;47,316;0,15;7,02;0,67;55,467;-0,34;8,02;0,71;48,555
0,12;5,02;0,58;45,710;-0,48;6,02;0,62;47,455;0,26;7,02;0,67;55,659;-0,30;8,02;0,71;48,764
0,18;5,02;0,58;45,850;-0,55;6,02;0,62;47,578;0,34;7,02;0,66;55,833;-0,49;8,02;0,71;48,956
0,11;5,02;0,58;45,989;-0,58;6,02;0,62;47,700;0,32;7,02;0,66;56,060;-0,55;8,02;0,71;49,148
-0,10;5,02;0,58;46,129;-0,61;6,02;0,62;47,857;0,25;7,02;0,66;56,269;-0,43;8,02;0,71;49,323
0,01;5,02;0,58;46,269;-0,61;6,02;0,62;48,066;0,16;7,02;0,67;56,461;-0,37;8,02;0,71;49,515
0,02;5,02;0,58;46,391;-0,61;6,02;0,62;48,311;0,28;7,02;0,66;56,636;-0,44;8,02;0,71;49,707
-0,03;5,02;0,58;46,478;-0,63;6,02;0,62;48,555;0,24;7,02;0,66;56,863;-0,23;8,02;0,71;49,916
0,07;5,02;0,58;46,530;-0,53;6,02;0,62;48,782;0,27;7,02;0,66;57,125;-0,21;8,02;0,71;50,126
0,11;5,02;0,58;46,618;-0,56;6,02;0,62;48,991;0,32;7,02;0,66;57,404;-0,42;8,02;0,71;50,335
0,00;5,02;0,58;46,722;-0,56;6,02;0,62;49,183;0,25;7,02;0,66;57,701;-0,38;8,02;0,71;50,580
0,09;5,02;0,58;46,880;-0,58;6,02;0,62;49,375;0,27;7,02;0,66;57,980;-0,19;8,02;0,71;50,841
0,14;5,02;0,58;47,037;-0,63;6,02;0,62;49,585;0,23;7,02;0,66;58,224;-0,21;8,02;0,71;51,103
0,17;5,02;0,58;47,246;-0,69;6,02;0,62;49,794;0,26;7,02;0,66;58,486;-0,51;8,02;0,71;51,348
0,09;5,02;0,58;47,438;-0,58;6,02;0,62;50,021;0,09;7,02;0,67;58,765;-0,60;8,02;0,71;51,592
0,07;5,02;0,58;47,630;-0,63;6,02;0,62;50,231;0,23;7,02;0,67;58,992;-0,50;8,02;0,71;51,801
0,17;5,02;0,58;47,805;-0,62;6,02;0,62;50,475;0,08;7,02;0,66;59,202;-0,40;8,02;0,71;52,011
0,11;5,02;0,58;47,944;-0,64;6,02;0,62;50,667;0,10;7,02;0,66;59,394;-0,38;8,02;0,71;52,185
0,07;5,02;0,58;48,066;-0,66;6,02;0,62;50,876;0,32;7,02;0,67;59,551;-0,49;8,02;0,71;52,395
0,11;5,02;0,58;48,206;-0,62;6,02;0,62;51,086;0,30;7,02;0,67;59,690;-0,39;8,02;0,71;52,622
0,11;5,02;0,58;48,346;-0,67;6,02;0,62;51,295;0,52;7,02;0,67;59,795;-0,38;8,02;0,71;52,866
0,01;5,02;0,58;48,503;-0,90;6,02;0,62;51,505;0,71;7,02;0,67;59,917;-0,32;8,02;0,71;53,110
0,02;5,02;0,58;48,660;-0,81;6,02;0,62;51,749;1,43;7,02;0,67;60,057;-0,38;8,02;0,71;53,302
0,06;5,02;0,58;48,799;-0,80;6,02;0,62;52,028;1,77;7,02;0,67;60,214;-0,32;8,02;0,71;53,477
0,05;5,02;0,58;48,956;-0,72;6,02;0,62;52,255;1,83;7,02;0,67;60,388;-0,30;8,02;0,71;53,634
0,05;5,02;0,58;49,114;-0,59;6,02;0,62;52,517;1,53;7,02;0,67;60,545;-0,31;8,02;0,71;53,808
-0,01;5,02;0,58;49,271;-0,68;6,02;0,62;52,761;1,28;7,02;0,67;60,668;-0,30;8,02;0,71;54,000
0,06;5,02;0,58;49,445;-0,68;6,02;0,62;52,971;0,80;7,02;0,67;60,790;-0,22;8,02;0,71;54,227
0,10;5,02;0,58;49,620;-0,75;6,02;0,62;53,163;0,57;7,02;0,66;60,929;-0,39;8,02;0,71;54,437
0,00;5,02;0,58;49,777;-0,87;6,02;0,62;53,372;0,46;7,02;0,66;61,069;-0,43;8,02;0,71;54,646
0,03;5,02;0,58;49,899;-0,97;6,02;0,62;53,564;0,25;7,02;0,66;61,226;-0,37;8,02;0,71;54,856
0,07;5,02;0,58;49,986;-0,98;6,02;0,62;53,739;0,10;7,02;0,66;61,418;-0,39;8,02;0,71;55,065
0,06;5,02;0,58;50,056;-0,99;6,02;0,62;53,913;0,19;7,02;0,66;61,575;-0,43;8,02;0,71;55,275
0,06;5,02;0,58;50,161;-0,99;6,02;0,62;54,105;0,29;7,02;0,66;61,732;-0,26;8,02;0,71;55,501
0,04;5,02;0,58;50,283;-0,95;6,02;0,62;54,297;0,32;7,02;0,66;61,854;-0,27;8,02;0,71;55,763
-0,01;5,02;0,58;50,405;-1,00;6,02;0,62;54,489;0,23;7,02;0,66;61,924;-0,38;8,02;0,71;56,060
-0,03;5,02;0,58;50,527;-0,92;6,02;0,62;54,664;0,24;7,02;0,66;61,994;-0,37;8,02;0,71;56,322
-0,03;5,02;0,58;50,667;-0,92;6,02;0,62;54,838;0,02;7,02;0,66;62,046;-0,35;8,02;0,71;56,549
-0,01;5,02;0,58;50,807;-0,97;6,02;0,62;54,995;0,15;7,02;0,66;62,099;-0,30;8,02;0,71;56,776
